,Code,Name
0,amf,Hamer-Banna
1,amh,Amharic
2,ara,"Arabic, North Mesopotamian Arabic"
3,ben,Bengali
4,deu,German
5,dik,Southwestern Dinka
6,dwr,Dawro
7,eng,English
8,fas,Persian
9,fra,French
10,gmv,Gamo
11,gof,Gofa
12,guj,Gujarati
13,hau,Hausa
14,hin,"Hindi, Fiji Hindi"
15,ind,"Indonesian, Malay (macrolanguage)"
16,ita,Italian
17,jav,"Javanese, Caribbean Javanese"
18,jpn,Japanese
19,kab,Kabyle
20,kan,Kannada
21,kor,Korean
22,lad,Ladino
23,mar,Marathi
24,pan,"Panjabi, Punjabi"
25,pol,Polish
26,por,Portuguese
27,rus,Russian
28,shi,Tachelhit
29,sid,Sidamo
30,som,Somali
31,spa,"Castilian, Spanish"
32,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
33,tam,Tamil
34,tel,Telugu
35,tgl,"Tagalog, Filipino, Pilipino"
36,tha,Thai
37,tir,Tigrinya
38,tur,Turkish
39,udu,Uduk
40,urd,Urdu
41,vie,Vietnamese
42,wal,"Wolaitta, Wolaytta"
43,zho,"Chinese, Mandarin Chinese"
