,Code,Name
0,afr,Afrikaans
1,amh,Amharic
2,ara,"Arabic, North Mesopotamian Arabic"
3,bem,Bemba (Zambia)
4,ben,Bengali
5,cjk,Chokwe
6,deu,German
7,eng,English
8,fas,Persian
9,fra,French
10,guj,Gujarati
11,hau,Hausa
12,her,Herero
13,hin,"Hindi, Fiji Hindi"
14,ind,"Indonesian, Malay (macrolanguage)"
15,ita,Italian
16,jav,"Javanese, Caribbean Javanese"
17,jpn,Japanese
18,kan,Kannada
19,kor,Korean
20,kua,"Kuanyama, Kwanyama"
21,kwn,Kwangali
22,loz,Lozi
23,mar,Marathi
24,nba,Nyemba
25,nbl,South Ndebele
26,ndc,Ndau
27,nde,North Ndebele
28,ndo,Ndonga
29,nso,"Northern Sotho, Pedi, Sepedi"
30,nya,"Chewa, Chichewa, Nyanja"
31,nyu,Nyungwe
32,pan,"Panjabi, Punjabi"
33,pol,Polish
34,por,Portuguese
35,rus,Russian
36,sna,Shona
37,sot,Southern Sotho
38,spa,"Castilian, Spanish"
39,ssw,Swati
40,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
41,tam,Tamil
42,tel,Telugu
43,tgl,"Tagalog, Filipino, Pilipino"
44,tha,Thai
45,toh,Gitonga
46,toi,Tonga (Zambia)
47,tsc,Tswa
48,tsn,Tswana
49,tso,Tsonga
50,tur,Turkish
51,umb,Umbundu
52,urd,Urdu
53,ven,Venda
54,vie,Vietnamese
55,xho,Xhosa
56,zho,"Chinese, Mandarin Chinese"
57,zul,Zulu
