,Code,Name
0,ach,Acoli
1,ada,Adangme
2,afr,Afrikaans
3,amf,Hamer-Banna
4,amh,Amharic
5,anv,Denya
6,ara,"Arabic, North Mesopotamian Arabic"
7,bam,Bambara
8,bas,Basa (Cameroon)
9,bba,Baatonum
10,bci,Baoulé
11,bem,Bemba (Zambia)
12,ben,Bengali
13,bin,"Bini, Edo"
14,bjv,Bedjond
15,box,Buamu
16,bqc,"Boko (Benin), Boo"
17,bqp,Busa
18,bss,Akoose
19,bum,Bulu (Cameroon)
20,bus,Bokobaru
21,cce,Chopi
22,chw,Chuwabu
23,cjk,Chokwe
24,cme,Cerma
25,daa,Dangaléat
26,deu,German
27,dje,Zarma
28,dop,Lukpa
29,dua,Duala
30,dyu,Dyula
31,efi,Efik
32,eng,English
33,ewe,Ewe
34,fas,Persian
35,ffm,Maasina Fulfulde
36,fon,Fon
37,fra,French
38,fue,Borgu Fulfulde
39,fuh,Western Niger Fulfulde
40,gaa,Ga
41,gng,Ngangam
42,guj,Gujarati
43,guw,Gun
44,hau,Hausa
45,her,Herero
46,hin,"Hindi, Fiji Hindi"
47,ibo,Igbo
48,ikk,Ika
49,ikw,Ikwere
50,ind,"Indonesian, Malay (macrolanguage)"
51,ish,Esan
52,iso,Isoko
53,ita,Italian
54,jav,"Javanese, Caribbean Javanese"
55,jpn,Japanese
56,kam,Kamba (Kenya)
57,kan,Kannada
58,kbp,Kabiyè
59,kde,Makonde
60,kdl,Tsikimba
61,kea,Kabuverdianu
62,ken,Kenyang
63,kik,"Gikuyu, Kikuyu"
64,kin,Kinyarwanda
65,kmb,Kimbundu
66,knf,Mankanya
67,kon,Kongo
68,koo,Konzo
69,kor,Korean
70,kqn,Kaonde
71,kri,Krio
72,kss,Southern Kisi
73,ktj,Plapo Krumen
74,kua,"Kuanyama, Kwanyama"
75,kwn,Kwangali
76,kwy,San Salvador Kongo
77,kyf,Living
78,kyq,Living
79,lam,Lamba
80,lin,Lingala
81,loz,Lozi
82,lua,Luba-Lulua
83,lub,Luba-Katanga
84,lue,Luvale
85,lug,Ganda
86,lun,Lunda
87,luo,"Dholuo, Luo (Kenya and Tanzania)"
88,mar,Marathi
89,mcp,Makaa
90,meq,Merey
91,mgr,Mambwe-Lungu
92,mkl,Mokole
93,mlg,Malagasy
94,mos,Mossi
95,mqb,Mbuko
96,muy,Muyang
97,nba,Nyemba
98,ncu,Chumburung
99,ndc,Ndau
100,nde,North Ndebele
101,ndo,Ndonga
102,ngl,Lomwe
103,nhu,Noone
104,nin,Ninzo
105,nko,Nkonya
106,nya,"Chewa, Chichewa, Nyanja"
107,nyk,Nyaneka
108,nyn,Nyankole
109,nyu,Nyungwe
110,nzi,Nzima
111,oke,Okpe (Southwestern Edo)
112,orm,Oromo
113,pan,"Panjabi, Punjabi"
114,pcm,Nigerian Pidgin
115,plt,Plateau Malagasy
116,pol,Polish
117,por,Portuguese
118,rnd,Ruund
119,run,Rundi
120,rus,Russian
121,sag,Sango
122,seh,Sena
123,sna,Shona
124,som,Somali
125,sop,Songe
126,soy,Miyobe
127,spa,"Castilian, Spanish"
128,spp,Supyire Senoufo
129,spy,Sabaot
130,ssw,Swati
131,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
132,sxb,Suba
133,tam,Tamil
134,tbz,Ditammari
135,tel,Telugu
136,tgl,"Tagalog, Filipino, Pilipino"
137,tha,Thai
138,tiv,Tiv
139,tll,Tetela
140,tog,Tonga (Nyasa)
141,toh,Gitonga
142,toi,Tonga (Zambia)
143,tsc,Tswa
144,tsn,Tswana
145,tso,Tsonga
146,tsw,Tsishingini
147,ttj,Tooro
148,tum,Tumbuka
149,tur,Turkish
150,umb,Umbundu
151,urd,Urdu
152,urh,Urhobo
153,vie,Vietnamese
154,vmw,Makhuwa
155,wmw,Mwani
156,wol,Wolof
157,xed,Hdi
158,xon,Living
159,yam,Yamba
160,yao,Yao
161,yor,Yoruba
162,yre,Yaouré
163,zho,"Chinese, Mandarin Chinese"
164,zne,Zande (individual language)
165,zul,Zulu
