,Code,Name
0,ake,Akawaio
1,amh,Amharic
2,apn,Apinayé
3,apu,Apurinã
4,apy,Apalaí
5,ara,"Arabic, North Mesopotamian Arabic"
6,bao,Waimaha
7,ben,Bengali
8,bkq,Bakairí
9,boa,Bora
10,bsn,Barasana-Eduria
11,car,Galibi Carib
12,cax,Chiquitano
13,cbc,Carapana
14,cbs,Cashinahua
15,ceg,Chamacoco
16,cni,Asháninka
17,cpu,"Pichis Ashéninka, Ucayali-Yurúa Ashéninka"
18,cub,Cubeo
19,cul,"Culina, Kulina"
20,des,Desano
21,deu,German
22,eng,English
23,fas,Persian
24,fra,French
25,gub,Guajajára
26,guj,Gujarati
27,gun,Mbyá Guaraní
28,gvc,Guanano
29,hau,Hausa
30,hin,"Hindi, Fiji Hindi"
31,hix,Hixkaryána
32,ind,"Indonesian, Malay (macrolanguage)"
33,ita,Italian
34,jav,"Javanese, Caribbean Javanese"
35,jpn,Japanese
36,kan,Kannada
37,kbc,Kadiwéu
38,kgk,Kaiwá
39,kgp,Kaingang
40,kor,Korean
41,kpj,Karajá
42,kyz,Living
43,mar,Marathi
44,mav,Sateré-Mawé
45,mbc,Macushi
46,mbj,Nadëb
47,mbl,Maxakalí
48,mcd,Sharanahua
49,mcf,Matsés
50,myu,Individual
51,myy,Individual
52,nab,Southern Nambikuára
53,nld,"Dutch, Flemish"
54,pab,Parecís
55,pad,Paumarí
56,pah,Tenharim
57,pan,"Panjabi, Punjabi"
58,pbc,Patamona
59,pir,Piratapuyo
60,plu,Palikúr
61,pol,Polish
62,por,Portuguese
63,ram,Canela
64,rkb,Rikbaktsa
65,rus,Russian
66,spa,"Castilian, Spanish"
67,sri,Siriano
68,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
69,tam,Tamil
70,tca,Ticuna
71,tel,Telugu
72,ter,Tereno
73,tgl,"Tagalog, Filipino, Pilipino"
74,tha,Thai
75,tue,Tuyuca
76,tuo,Tucano
77,tur,Turkish
78,txu,Kayapó
79,urb,"Kaapor, Urubú-Kaapor"
80,urd,Urdu
81,vec,Venetian
82,vie,Vietnamese
83,wap,Wapishana
84,xav,Xavánte
85,yaa,Yaminahua
86,ycn,Yucuna
87,zho,"Chinese, Mandarin Chinese"
