,Code,Name
0,acc,Achi
1,acf,Saint Lucian Creole French
2,acr,Achi
3,agu,Aguacateco
4,amh,Amharic
5,amu,Guerrero Amuzgo
6,ara,"Arabic, North Mesopotamian Arabic"
7,azg,San Pedro Amuzgos Amuzgo
8,ben,Bengali
9,bzd,Bribri
10,bzj,Belize Kriol English
11,caa,Chortí
12,cab,Garifuna
13,cak,"Cakchiquel, Kaqchikel"
14,cbm,Cakchiquel
15,cco,Comaltepec Chinantec
16,chd,Highland Oaxaca Chontal
17,chf,Tabasco Chontal
18,chq,Quiotepec Chinantec
19,chz,Ozumacín Chinantec
20,cjp,Cabécar
21,cke,Eastern Cakchiquel
22,cki,Cakchiquel
23,ckw,Western Cakchiquel
24,cle,Lealao Chinantec
25,cnl,Lalana Chinantec
26,cpa,Palantla Chinantec
27,crn,El Nayar Cora
28,cso,"Sochiapam Chinantec, Sochiapan Chinantec"
29,cta,Tataltepec Chatino
30,cti,"Chol, Tila"
31,ctp,Western Highland Chatino
32,ctu,Chol
33,cuc,Usila Chinantec
34,cuk,San Blas Kuna
35,cut,Teutila Cuicatec
36,cux,Tepeuxila Cuicatec
37,deu,German
38,emp,Northern Emberá
39,eng,English
40,fas,Persian
41,fra,French
42,guj,Gujarati
43,gym,Ngäbere
44,hat,"Haitian, Haitian Creole"
45,hau,Hausa
46,hch,Huichol
47,hin,"Hindi, Fiji Hindi"
48,hns,Caribbean Hindustani
49,hus,Huastec
50,huv,San Mateo Del Mar Huave
51,hva,Huastec
52,ind,"Indonesian, Malay (macrolanguage)"
53,ita,Italian
54,ixl,Ixil
55,jac,"Jakalteko, Popti'"
56,jam,Jamaican Creole English
57,jav,"Javanese, Caribbean Javanese"
58,jic,Tol
59,jpn,Japanese
60,kan,Kannada
61,kek,Kekchí
62,kjb,"Kanjobal, Q'anjob'al"
63,knj,Western Kanjobal
64,kor,Korean
65,kvn,Border Kuna
66,lac,Lacandon
67,lad,Ladino
68,maa,San Jerónimo Tecóatl Mazatec
69,maj,Jalapa De Díaz Mazatec
70,mam,Mam
71,maq,Chiquihuitlán Mazatec
72,mar,Marathi
73,mau,Huautla Mazatec
74,maz,Central Mazahua
75,mco,Coatlán Mixe
76,mib,Atatláhuca Mixtec
77,mie,Ocotepec Mixtec
78,mig,San Miguel El Grande Mixtec
79,mih,Chayuco Mixtec
80,mil,Peñoles Mixtec
81,mio,Pinotepa Nacional Mixtec
82,mir,Isthmus Mixe
83,mit,Southern Puebla Mixtec
84,miz,Coatzospan Mixtec
85,mjc,San Juan Colorado Mixtec
86,mks,Silacayoapan Mixtec
87,mop,Mopán Maya
88,mpm,Yosondúa Mixtec
89,mto,Totontepec Mixe
90,mvc,Central Mam
91,mvj,Mam
92,mxb,Tezoatlán Mixtec
93,mxp,Tlahuitoltepec Mixe
94,mxq,Juquila Mixe
95,mxt,Jamiltepec Mixtec
96,mxv,Metlatónoc Mixtec
97,nah,"Nahuatl, Southeastern Puebla Nahuatl"
98,ncl,Michoacán Nahuatl
99,nhg,Tetelcingo Nahuatl
100,nld,"Dutch, Flemish"
101,noa,Woun Meu
102,ntp,Northern Tepehuan
103,ood,Tohono O'odham
104,ote,Mezquital Otomi
105,otm,Eastern Highland Otomi
106,otn,Tenango Otomi
107,otq,Querétaro Otomi
108,ots,Estado de México Otomi
109,pan,"Panjabi, Punjabi"
110,pap,Papiamento
111,pls,"San Marcos Tlacoyalco Popoloca, San Marcos Tlalcoyalco Popoloca"
112,pob,Western Pokomchí
113,poe,San Juan Atzingo Popoloca
114,poh,Poqomchi'
115,poi,Highland Popoluca
116,pol,Polish
117,por,Portuguese
118,que,"Quechua, Southern Conchucos Ancash Quechua"
119,qut,West Central Quiché
120,rus,Russian
121,sab,Buglere
122,sja,Epena
123,spa,"Castilian, Spanish"
124,stp,Southeastern Tepehuan
125,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
126,tac,Lowland Tarahumara
127,tam,Tamil
128,tar,Central Tarahumara
129,tcf,"Malinaltepec Me'phaa, Malinaltepec Tlapanec"
130,tee,Huehuetla Tepehua
131,tel,Telugu
132,tfr,Teribe
133,tgl,"Tagalog, Filipino, Pilipino"
134,tha,Thai
135,tku,Upper Necaxa Totonac
136,toc,Coyutla Totonac
137,toj,Tojolabal
138,too,Xicotepec De Juárez Totonac
139,top,Papantla Totonac
140,tos,Highland Totonac
141,tpt,Tlachichilco Tepehua
142,trc,Copala Triqui
143,trq,San Martín Itunyoso Triqui
144,tsz,Purepecha
145,ttc,Tektiteko
146,tur,Turkish
147,tzh,Tzeltal
148,tzj,Tz'utujil
149,tzt,Western Tzutujil
150,tzu,Huixtán Tzotzil
151,urd,Urdu
152,usp,Uspanteco
153,vec,Venetian
154,vie,Vietnamese
155,vmy,Ayautla Mazatec
156,xtd,Living
157,xtm,Living
