,Code,Name
0,alq,Algonquin
1,amh,Amharic
2,apw,Western Apache
3,ara,"Arabic, North Mesopotamian Arabic"
4,atj,Atikamekw
5,ben,Bengali
6,bzj,Belize Kriol English
7,caf,Southern Carrier
8,chr,Cherokee
9,crm,Moose Cree
10,crn,El Nayar Cora
11,crx,Carrier
12,deu,German
13,eng,English
14,esi,"North Alaskan Inupiatun, Northwest Alaska Inupiatun"
15,fas,Persian
16,fra,French
17,guj,Gujarati
18,gul,Sea Island Creole English
19,gwi,Gwichʼin
20,hau,Hausa
21,haw,Hawaiian
22,hin,"Hindi, Fiji Hindi"
23,hop,Hopi
24,hwc,"Hawai'i Creole English, Hawai'i Pidgin"
25,ind,"Indonesian, Malay (macrolanguage)"
26,ita,Italian
27,jav,"Javanese, Caribbean Javanese"
28,jbo,Lojban
29,jpn,Japanese
30,kan,Kannada
31,kor,Korean
32,kri,Krio
33,lad,Ladino
34,mar,Marathi
35,mil,Peñoles Mixtec
36,mks,Silacayoapan Mixtec
37,nav,"Navaho, Navajo"
38,ojb,Northwestern Ojibwa
39,ood,Tohono O'odham
40,ote,Mezquital Otomi
41,pan,"Panjabi, Punjabi"
42,pao,Northern Paiute
43,pdt,Plautdietsch
44,pms,Piemontese
45,pol,Polish
46,por,Portuguese
47,rus,Russian
48,spa,"Castilian, Spanish"
49,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
50,tam,Tamil
51,tel,Telugu
52,tew,Tewa (USA)
53,tgl,"Tagalog, Filipino, Pilipino"
54,tha,Thai
55,tok,Toki Pona
56,trc,Copala Triqui
57,tur,Turkish
58,urd,Urdu
59,vie,Vietnamese
60,yaq,Yaqui
61,yid,Yiddish
62,zab,"San Juan Guelavía Zapotec, Western Tlacolula Valley Zapotec"
63,zad,Cajonos Zapotec
64,zav,Yatzachi Zapotec
65,zho,"Chinese, Mandarin Chinese"
66,zpq,Zoogocho Zapotec
67,zpu,Yalálag Zapotec
