,Code,Name
0,aca,Achagua
1,acu,Achuar-Shiwiar
2,agr,Aguaruna
3,ake,Akawaio
4,ame,Yanesha'
5,amh,Amharic
6,amr,Amarakaeri
7,ara,"Arabic, North Mesopotamian Arabic"
8,arl,Arabela
9,arn,Araucanian
10,auc,Waorani
11,aym,Aymara
12,bao,Waimaha
13,ben,Bengali
14,bmr,Muinane
15,boa,Bora
16,bsn,Barasana-Eduria
17,cao,Chácobo
18,cap,Chipaya
19,car,Galibi Carib
20,cav,Cavineña
21,cax,Chiquitano
22,cbc,Carapana
23,cbi,Chachi
24,cbr,Cashibo-Cacataibo
25,cbs,Cashinahua
26,cbt,Chayahuita
27,cbu,Candoshi-Shapra
28,cbv,Cacua
29,ceg,Chamacoco
30,cjo,Ashéninka Pajonal
31,cni,Asháninka
32,coe,Koreguaje
33,cof,Colorado
34,cot,Caquinte
35,cpc,Ajyíninka Apurucayali
36,cpu,"Pichis Ashéninka, Ucayali-Yurúa Ashéninka"
37,cub,Cubeo
38,cui,Cuiba
39,cuk,San Blas Kuna
40,cul,"Culina, Kulina"
41,cym,Welsh
42,des,Desano
43,deu,German
44,djk,"Businenge Tongo, Eastern Maroon Creole, Nenge"
45,emp,Northern Emberá
46,eng,English
47,ese,Ese Ejja
48,fas,Persian
49,fra,French
50,guc,Wayuu
51,gug,"Paraguayan Guaraní, Eastern Bolivian Guaraní"
52,guh,Guahibo
53,guj,Gujarati
54,gum,Guambiano
55,gun,Mbyá Guaraní
56,guo,Guayabero
57,gvc,Guanano
58,gyr,Guarayu
59,hau,Hausa
60,hin,"Hindi, Fiji Hindi"
61,hns,Caribbean Hindustani
62,hto,Minica Huitoto
63,hub,Huambisa
64,huu,Murui Huitoto
65,ign,Ignaciano
66,inb,Inga
67,ind,"Indonesian, Malay (macrolanguage)"
68,ita,Italian
69,jav,"Javanese, Caribbean Javanese"
70,jiv,Shuar
71,jpn,Japanese
72,kan,Kannada
73,kaq,Capanahua
74,kbh,Camsá
75,kgk,Kaiwá
76,kor,Korean
77,kvn,Border Kuna
78,kwi,Awa-Cuaiquer
79,mar,Marathi
80,mbc,Macushi
81,mca,Maca
82,mcb,Machiguenga
83,mcd,Sharanahua
84,mcf,Matsés
85,myy,Individual
86,nld,"Dutch, Flemish"
87,noa,Woun Meu
88,not,Nomatsiguenga
89,pan,"Panjabi, Punjabi"
90,pbb,Páez
91,pbc,Patamona
92,pib,Yine
93,pio,Piapoco
94,pir,Piratapuyo
95,plu,Palikúr
96,pol,Polish
97,por,Portuguese
98,que,"Quechua, Southern Conchucos Ancash Quechua"
99,rus,Russian
100,sey,Secoya
101,sja,Epena
102,snn,Siona
103,spa,"Castilian, Spanish"
104,sri,Siriano
105,srm,Saramaccan
106,srn,Sranan Tongo
107,srq,Sirionó
108,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
109,tam,Tamil
110,tav,Tatuyo
111,tca,Ticuna
112,tel,Telugu
113,tgl,"Tagalog, Filipino, Pilipino"
114,tha,Thai
115,tna,Tacana
116,tnc,Tanimuca-Retuarã
117,tue,Tuyuca
118,tuf,Central Tunebo
119,tuo,Tucano
120,tur,Turkish
121,ura,Urarina
122,urd,Urdu
123,vie,Vietnamese
124,wap,Wapishana
125,yaa,Yaminahua
126,yad,Yagua
127,ycn,Yucuna
128,zho,"Chinese, Mandarin Chinese"
