,Code,Name
0,abk,Abkhazian
1,amh,Amharic
2,ara,"Arabic, North Mesopotamian Arabic"
3,ava,Avaric
4,aze,"Azerbaijani, South Azerbaijani"
5,bak,Bashkir
6,ben,Bengali
7,che,Chechen
8,chv,Chuvash
9,crh,"Crimean Tatar, Crimean Turkish"
10,deu,German
11,eng,English
12,fas,Persian
13,fra,French
14,guj,Gujarati
15,hau,Hausa
16,hin,"Hindi, Fiji Hindi"
17,hye,Armenian
18,ind,"Indonesian, Malay (macrolanguage)"
19,ita,Italian
20,jav,"Javanese, Caribbean Javanese"
21,jpn,Japanese
22,kaa,"Kara-Kalpak, Karakalpak"
23,kan,Kannada
24,kat,Georgian
25,kaz,Kazakh
26,kir,"Kirghiz, Kyrgyz"
27,kor,Korean
28,krc,Karachay-Balkar
29,kur,"Kurdish, Northern Kurdish"
30,lez,Lezghian
31,mar,Marathi
32,mhr,Eastern Mari
33,pan,"Panjabi, Punjabi"
34,pol,Polish
35,por,Portuguese
36,rus,Russian
37,spa,"Castilian, Spanish"
38,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
39,tam,Tamil
40,tat,Tatar
41,tel,Telugu
42,tgk,Tajik
43,tgl,"Tagalog, Filipino, Pilipino"
44,tha,Thai
45,tuk,Turkmen
46,tur,Turkish
47,udm,Udmurt
48,uig,"Uighur, Uyghur"
49,urd,Urdu
50,uzb,Uzbek
51,vie,Vietnamese
52,xmf,Mingrelian
53,zho,"Chinese, Mandarin Chinese"
