,Code,Name
0,amh,Amharic
1,ami,Amis
2,ara,"Arabic, North Mesopotamian Arabic"
3,atb,Zaiwa
4,ben,Bengali
5,bxr,Russia Buriat
6,cdo,Min Dong Chinese
7,deu,German
8,eng,English
9,fas,Persian
10,fra,French
11,guj,Gujarati
12,hak,Hakka Chinese
13,hau,Hausa
14,hin,"Hindi, Fiji Hindi"
15,hmn,"Hmong, Mong"
16,ind,"Indonesian, Malay (macrolanguage)"
17,ita,Italian
18,jav,"Javanese, Caribbean Javanese"
19,jpn,Japanese
20,kac,"Jingpho, Kachin"
21,kan,Kannada
22,kaz,Kazakh
23,kir,"Kirghiz, Kyrgyz"
24,kor,Korean
25,mar,Marathi
26,mon,Mongolian
27,pan,"Panjabi, Punjabi"
28,pol,Polish
29,por,Portuguese
30,rus,Russian
31,shn,Shan
32,spa,"Castilian, Spanish"
33,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
34,tam,Tamil
35,tat,Tatar
36,tel,Telugu
37,tgk,Tajik
38,tgl,"Tagalog, Filipino, Pilipino"
39,tha,Thai
40,tur,Turkish
41,tyv,Tuvinian
42,uig,"Uighur, Uyghur"
43,urd,Urdu
44,vie,Vietnamese
45,zho,"Chinese, Mandarin Chinese"
