,Code,Name
0,amh,Amharic
1,ara,"Arabic, North Mesopotamian Arabic"
2,asm,Assamese
3,ben,Bengali
4,bpy,Bishnupriya
5,cnh,"Haka Chin, Hakha Chin"
6,crs,Seselwa Creole French
7,deu,German
8,div,"Dhivehi, Divehi, Maldivian"
9,dty,Dotyali
10,eng,English
11,fas,Persian
12,fra,French
13,gom,Goan Konkani
14,guj,Gujarati
15,hau,Hausa
16,hin,"Hindi, Fiji Hindi"
17,ind,"Indonesian, Malay (macrolanguage)"
18,ita,Italian
19,jav,"Javanese, Caribbean Javanese"
20,jpn,Japanese
21,kan,Kannada
22,kor,Korean
23,lif,Limbu
24,lus,Lushai
25,mai,Maithili
26,mal,Malayalam
27,mar,Marathi
28,mya,Burmese
29,nep,Nepali (macrolanguage)
30,new,"Nepal Bhasa, Newari"
31,ori,Oriya (macrolanguage)
32,pan,"Panjabi, Punjabi"
33,pck,Paite Chin
34,pli,Pali
35,pnb,Western Panjabi
36,pol,Polish
37,por,Portuguese
38,pus,"Pashto, Pushto"
39,rus,Russian
40,san,Sanskrit
41,sat,Santali
42,sin,"Sinhala, Sinhalese"
43,snd,Sindhi
44,spa,"Castilian, Spanish"
45,suz,Sunwar
46,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
47,taj,Eastern Tamang
48,tam,Tamil
49,tcy,Tulu
50,tel,Telugu
51,tgl,"Tagalog, Filipino, Pilipino"
52,tha,Thai
53,tuk,Turkmen
54,tur,Turkish
55,uig,"Uighur, Uyghur"
56,urd,Urdu
57,vie,Vietnamese
58,zho,"Chinese, Mandarin Chinese"
59,zyp,Zyphe Chin
