,Code,Name
0,aai,Arifama-Miniafia
1,aak,Ankave
2,aau,Abau
3,abt,Ambulas
4,abx,Inabaknon
5,aby,Aneme Wake
6,ace,Achinese
7,aey,Amele
8,agd,Agarabi
9,agg,Angor
10,agm,Angaataha
11,aia,Arosi
12,akh,Angal Heneng
13,alp,Alune
14,amh,Amharic
15,amk,Ambai
16,amm,Ama (Papua New Guinea)
17,amn,Amanab
18,amp,Alamblak
19,aoj,Mufian
20,aom,Ömie
21,aon,Bumbita Arapesh
22,ape,Bukiyip
23,apr,Arop-Lokep
24,apz,Safeyoka
25,ara,"Arabic, North Mesopotamian Arabic"
26,aso,Dano
27,ata,Pele-Ata
28,atb,Zaiwa
29,atd,Ata Manobo
30,att,Pamplona Atta
31,auy,Awiyaana
32,avt,Au
33,awb,Awa (Papua New Guinea)
34,bbb,Barai
35,bbc,Batak Toba
36,bbr,Girawa
37,bch,Bariai
38,bcl,Central Bikol
39,bdd,Bunama
40,bef,Benabena
41,ben,Bengali
42,bgs,Tagabawa
43,bhl,Bimin
44,bhw,Biak
45,big,Biangai
46,bis,Bislama
47,bjn,Banjar
48,bjr,Binumarien
49,bkd,"Binukid, Talaandig"
50,blw,Balangao
51,blz,Balantak
52,bmh,Kein
53,bmu,Somba-Siawari
54,bnp,Bola
55,boj,Anjam
56,bon,Bine
57,bpr,Koronadal Blaan
58,bpy,Bishnupriya
59,bts,Batak Simalungun
60,btx,Batak Karo
61,bug,Buginese
62,buk,Bugawac
63,byr,"Baruya, Yipma"
64,byx,Qaqet
65,bzh,Mapos Buang
66,cbk,Chavacano
67,ceb,Cebuano
68,cgc,Kagayanen
69,chk,Chuukese
70,cjv,Chuave
71,clu,Caluyanun
72,cnh,"Haka Chin, Hakha Chin"
73,dad,Marik
74,dah,Gwahatike
75,ded,Dedua
76,deu,German
77,dgc,Casiguran Dumagat Agta
78,dgz,Daga
79,dob,Dobu
80,dww,Dawawa
81,ebk,Eastern Bontok
82,emi,Mussau-Emira
83,eml,Emiliano-Romagnolo
84,eng,English
85,enq,Enga
86,etr,Edolo
87,faa,Fasu
88,fai,Faiwol
89,fas,Persian
90,for,Fore
91,fra,French
92,gah,Alekano
93,gam,Kandawo
94,gaw,Nobonob
95,gbi,Galela
96,gdn,Umanakaina
97,gdr,Wipi
98,gfk,Patpatar
99,ghs,Guhu-Samane
100,gil,Gilbertese
101,gor,Gorontalo
102,guj,Gujarati
103,gvf,Golin
104,hau,Hausa
105,heg,Helong
106,hil,Hiligaynon
107,hin,"Hindi, Fiji Hindi"
108,hla,Halia
109,hmn,"Hmong, Mong"
110,hmo,Hiri Motu
111,hot,"Hote, Malê"
112,hui,Huli
113,ian,Iatmul
114,iba,Iban
115,ibg,Ibanag
116,ilo,Iloko
117,imo,Imbongu
118,ind,"Indonesian, Malay (macrolanguage)"
119,ino,Inoke-Yate
120,iou,Tuma-Irumu
121,ipi,Ipili
122,ita,Italian
123,iws,Sepik Iwam
124,jae,Yabem
125,jav,"Javanese, Caribbean Javanese"
126,jpn,Japanese
127,kac,"Jingpho, Kachin"
128,kan,Kannada
129,kbm,Iwal
130,kew,West Kewa
131,kgf,Kube
132,khm,"Central Khmer, Khmer"
133,khz,Keapara
134,kje,Kisar
135,kjs,East Kewa
136,kkc,Odoodee
137,klv,Maskelynes
138,kmg,Kâte
139,kmh,Kalam
140,kmo,Kwoma
141,kms,Kamasau
142,kmu,Kanite
143,knv,Tabo
144,kor,Korean
145,kos,Kosraean
146,kpf,Komba
147,kpg,Kapingamarangi
148,kpr,Korafe-Yegha
149,kpw,Kobon
150,kpx,Mountain Koiali
151,kqc,Doromu-Koki
152,ksd,Kuanua
153,ksr,Borong
154,ksw,S'gaw Karen
155,kto,Kuot
156,kud,'Auhelawa
157,kue,Kuman (Papua New Guinea)
158,kup,Kunimaipa
159,kwj,Kwanga
160,kyc,Living
161,kyg,Living
162,kze,Living
163,lao,Lao
164,lbk,Central Bontok
165,lcm,Tungag
166,leu,Kara (Papua New Guinea)
167,lex,Luang
168,lid,Nyindrou
169,lus,Lushai
170,mar,Marathi
171,mbb,Western Bukidnon Manobo
172,mbh,Mangseng
173,mbt,Matigsalug Manobo
174,mcq,Ese
175,med,Melpa
176,mee,Mengen
177,mek,Mekeo
178,meu,Motu
179,mfe,Morisyen
180,mhl,Mauwake
181,min,Minangkabau
182,mkn,Kupang Malay
183,mlh,Mape
184,mlp,Bargam
185,mmo,Mangga Buang
186,mmx,Madak
187,mna,Mbula
188,mox,Molima
189,mpp,Migabac
190,mps,Dadibi
191,mpt,Mian
192,mpx,Misima-Panaeati
193,mqj,Mamasa
194,msm,Agusan Manobo
195,msy,Aruamu
196,mti,Maiwa (Papua New Guinea)
197,mux,Bo-Ung
198,mva,Manam
199,mvn,Minaveha
200,mya,Burmese
201,myw,Individual
202,naf,Nabak
203,nak,Nakanai
204,nas,Naasioi
205,nbq,Nggem
206,nca,Iyo
207,nia,Nias
208,nii,Nii
209,nij,Ngaju
210,niu,Niuean
211,nop,Numanggang
212,nou,Ewage-Notu
