,Code,Name
0,amh,Amharic
1,ara,"Arabic, North Mesopotamian Arabic"
2,bak,Bashkir
3,bar,Bavarian
4,bel,Belarusian
5,ben,Bengali
6,bul,Bulgarian
7,ces,Czech
8,chu,"Church Slavic, Church Slavonic, Old Bulgarian, Old Church Slavonic, Old Slavonic"
9,chv,Chuvash
10,crh,"Crimean Tatar, Crimean Turkish"
11,csb,Kashubian
12,deu,German
13,ell,Modern Greek (1453-)
14,eng,English
15,epo,Esperanto
16,est,Estonian
17,fas,Persian
18,fin,Finnish
19,fra,French
20,gag,Gagauz
21,guj,Gujarati
22,hau,Hausa
23,hbs,"Serbo-Croatian, Kaikavian Literary Language"
24,hin,"Hindi, Fiji Hindi"
25,hun,Hungarian
26,ind,"Indonesian, Malay (macrolanguage)"
27,ita,Italian
28,jav,"Javanese, Caribbean Javanese"
29,jpn,Japanese
30,kan,Kannada
31,kor,Korean
32,lad,Ladino
33,lav,Latvian
34,lez,Lezghian
35,lit,Lithuanian
36,ltg,Latgalian
37,mar,Marathi
38,mkd,Macedonian
39,pan,"Panjabi, Punjabi"
40,pol,Polish
41,por,Portuguese
42,rmn,Balkan Romani
43,rmy,Vlax Romani
44,ron,"Moldavian, Moldovan, Romanian"
45,rue,Rusyn
46,rus,Russian
47,slk,Slovak
48,slv,Slovenian
49,spa,"Castilian, Spanish"
50,sqi,"Albanian, Tosk Albanian"
51,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
52,szl,Silesian
53,tam,Tamil
54,tat,Tatar
55,tel,Telugu
56,tgl,"Tagalog, Filipino, Pilipino"
57,tha,Thai
58,tur,Turkish
59,ukr,Ukrainian
60,urd,Urdu
61,vec,Venetian
62,vie,Vietnamese
63,yid,Yiddish
64,zho,"Chinese, Mandarin Chinese"
