,Code,Name
0,abk,Abkhazian
1,alt,Southern Altai
2,amh,Amharic
3,ara,"Arabic, North Mesopotamian Arabic"
4,ava,Avaric
5,aze,"Azerbaijani, South Azerbaijani"
6,bak,Bashkir
7,bel,Belarusian
8,ben,Bengali
9,bxr,Russia Buriat
10,che,Chechen
11,chu,"Church Slavic, Church Slavonic, Old Bulgarian, Old Church Slavonic, Old Slavonic"
12,chv,Chuvash
13,crh,"Crimean Tatar, Crimean Turkish"
14,deu,German
15,eng,English
16,fas,Persian
17,fin,Finnish
18,fra,French
19,guj,Gujarati
20,hau,Hausa
21,hin,"Hindi, Fiji Hindi"
22,ind,"Indonesian, Malay (macrolanguage)"
23,ita,Italian
24,jav,"Javanese, Caribbean Javanese"
25,jpn,Japanese
26,kan,Kannada
27,kat,Georgian
28,kaz,Kazakh
29,kbd,Kabardian
30,kom,"Komi, Komi-Permyak"
31,kor,Korean
32,krc,Karachay-Balkar
33,lav,Latvian
34,lbe,Lak
35,lez,Lezghian
36,lit,Lithuanian
37,mar,Marathi
38,mdf,Moksha
39,mhr,Eastern Mari
40,nor,"Norwegian, Norwegian Bokmål"
41,olo,Livvi
42,oss,"Ossetian, Ossetic"
43,pan,"Panjabi, Punjabi"
44,pol,Polish
45,por,Portuguese
46,rmn,Balkan Romani
47,rus,Russian
48,sah,Yakut
49,sme,Northern Sami
50,spa,"Castilian, Spanish"
51,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
52,tam,Tamil
53,tat,Tatar
54,tel,Telugu
55,tgl,"Tagalog, Filipino, Pilipino"
56,tha,Thai
57,tur,Turkish
58,tyv,Tuvinian
59,udm,Udmurt
60,ukr,Ukrainian
61,urd,Urdu
62,vep,Veps
63,vie,Vietnamese
64,zho,"Chinese, Mandarin Chinese"
