,Code,Name
0,amh,Amharic
1,ara,"Arabic, North Mesopotamian Arabic"
2,ast,"Asturian, Asturleonese, Bable, Leonese"
3,bar,Bavarian
4,ben,Bengali
5,bre,Breton
6,bul,Bulgarian
7,cat,"Catalan, Valencian"
8,ces,Czech
9,cor,Cornish
10,cos,Corsican
11,cym,Welsh
12,dan,Danish
13,deu,German
14,div,"Dhivehi, Divehi, Maldivian"
15,dsb,Lower Sorbian
16,ell,Modern Greek (1453-)
17,eml,Emiliano-Romagnolo
18,eng,English
19,est,Estonian
20,eus,Basque
21,ext,Extremaduran
22,fao,Faroese
23,fas,Persian
24,fin,Finnish
25,fra,French
26,frp,"Arpitan, Francoprovençal"
27,frr,Northern Frisian
28,fry,Western Frisian
29,fur,Friulian
30,gag,Gagauz
31,gla,"Gaelic, Scottish Gaelic"
32,gle,Irish
33,glg,Galician
34,glv,Manx
35,guj,Gujarati
36,hau,Hausa
37,hbs,"Serbo-Croatian, Kaikavian Literary Language"
38,hin,"Hindi, Fiji Hindi"
39,hns,Caribbean Hindustani
40,hsb,Upper Sorbian
41,hun,Hungarian
42,ido,Ido
43,ile,"Interlingue, Occidental"
44,ina,Interlingua (International Auxiliary Language Association)
45,ind,"Indonesian, Malay (macrolanguage)"
46,isl,Icelandic
47,ita,Italian
48,jav,"Javanese, Caribbean Javanese"
49,jpn,Japanese
50,kal,"Greenlandic, Kalaallisut"
51,kan,Kannada
52,kor,Korean
53,ksh,Kölsch
54,lad,Ladino
55,lat,Latin
56,lij,Ligurian
57,lim,"Limburgan, Limburger, Limburgish"
58,lmo,Lombard
59,ltz,"Letzeburgesch, Luxembourgish"
60,mar,Marathi
61,mkd,Macedonian
62,mlt,Maltese
63,mwl,Mirandese
64,nap,Neapolitan
65,nds,"Low German, Low Saxon"
66,nld,"Dutch, Flemish"
67,nor,"Norwegian, Norwegian Bokmål"
68,oci,Occitan (post 1500)
69,olo,Livvi
70,pan,"Panjabi, Punjabi"
71,pap,Papiamento
72,pcd,Picard
73,pfl,Pfaelzisch
74,pms,Piemontese
75,pol,Polish
76,por,Portuguese
77,rmn,Balkan Romani
78,roh,Romansh
79,rus,Russian
80,scn,Sicilian
81,sco,Scots
82,slk,Slovak
83,slv,Slovenian
84,sme,Northern Sami
85,spa,"Castilian, Spanish"
86,sqi,"Albanian, Tosk Albanian"
87,srd,Sardinian
88,srn,Sranan Tongo
89,stq,Saterfriesisch
90,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
91,swe,Swedish
92,tam,Tamil
93,tat,Tatar
94,tel,Telugu
95,tgl,"Tagalog, Filipino, Pilipino"
96,tha,Thai
97,tur,Turkish
98,urd,Urdu
99,vec,Venetian
100,vie,Vietnamese
101,vls,Vlaams
102,vol,Volapük
103,wln,Walloon
104,wls,Wallisian
105,yid,Yiddish
106,zea,Zeeuws
107,zho,"Chinese, Mandarin Chinese"
