,Code,Name
0,amh,Amharic
1,ara,"Arabic, North Mesopotamian Arabic"
2,ben,Bengali
3,bis,Bislama
4,bjn,Banjar
5,cha,Chamorro
6,deu,German
7,dhv,"Dehu, Drehu"
8,eng,English
9,fas,Persian
10,fij,Fijian
11,fra,French
12,gil,Gilbertese
13,guj,Gujarati
14,hau,Hausa
15,hin,"Hindi, Fiji Hindi"
16,iba,Iban
17,ind,"Indonesian, Malay (macrolanguage)"
18,ita,Italian
19,jav,"Javanese, Caribbean Javanese"
20,jpn,Japanese
21,kal,"Greenlandic, Kalaallisut"
22,kan,Kannada
23,kor,Korean
24,mah,Marshallese
25,mar,Marathi
26,mri,Maori
27,niu,Niuean
28,nrm,Narom
29,pan,"Panjabi, Punjabi"
30,pms,Piemontese
31,pol,Polish
32,por,Portuguese
33,pri,Paicî
34,rar,"Cook Islands Maori, Rarotongan"
35,rus,Russian
36,smo,Samoan
37,spa,"Castilian, Spanish"
38,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
39,tam,Tamil
40,tel,Telugu
41,tgl,"Tagalog, Filipino, Pilipino"
42,tha,Thai
43,ton,Tonga (Tonga Islands)
44,tur,Turkish
45,tvl,Tuvalu
46,urd,Urdu
47,vie,Vietnamese
48,zho,"Chinese, Mandarin Chinese"
