,Code,Name
0,abk,Abkhazian
1,aii,Assyrian Neo-Aramaic
2,amh,Amharic
3,ara,"Arabic, North Mesopotamian Arabic"
4,ava,Avaric
5,aze,"Azerbaijani, South Azerbaijani"
6,ben,Bengali
7,bul,Bulgarian
8,cop,Coptic
9,crh,"Crimean Tatar, Crimean Turkish"
10,deu,German
11,diq,Dimli (individual language)
12,ell,Modern Greek (1453-)
13,eng,English
14,fas,Persian
15,fra,French
16,glk,Gilaki
17,guj,Gujarati
18,hau,Hausa
19,heb,Hebrew
20,hin,"Hindi, Fiji Hindi"
21,hye,Armenian
22,ind,"Indonesian, Malay (macrolanguage)"
23,ita,Italian
24,jav,"Javanese, Caribbean Javanese"
25,jpn,Japanese
26,kan,Kannada
27,kat,Georgian
28,kaz,Kazakh
29,kbd,Kabardian
30,kor,Korean
31,kur,"Kurdish, Northern Kurdish"
32,lad,Ladino
33,lrc,Northern Luri
34,mar,Marathi
35,mzn,Individual
36,pan,"Panjabi, Punjabi"
37,pol,Polish
38,por,Portuguese
39,rmn,Balkan Romani
40,rus,Russian
41,spa,"Castilian, Spanish"
42,swa,"Swahili (macrolanguage), Kiswahili, Swahili (individual language)"
43,tam,Tamil
44,tel,Telugu
45,tgl,"Tagalog, Filipino, Pilipino"
46,tha,Thai
47,tuk,Turkmen
48,tur,Turkish
49,urd,Urdu
50,vie,Vietnamese
51,yid,Yiddish
52,zho,"Chinese, Mandarin Chinese"
